time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
65,266240,1225.0,2.937509060000001,197,1351,-0.018314644694328308,0.0043736137,-0.40001264251768587,0.0428955078125,0.2,-0.011182209401158615,640,0.97753954,0.0003,0.00021026469930802706
66,270336,1225.0,2.99290316,200,1348,-0.023538582026958466,0.004607941,-0.38687481060624124,0.042578125,0.2,-0.01132583371072542,650,0.9785747,0.0003,0.00019550412052922185
67,274432,1225.0,3.0636922199999996,203,1347,-0.014485612511634827,0.0048787612,-0.39469264149665834,0.04443359375,0.2,-0.010620671248761936,660,0.9813455,0.0003,0.00017633286352065626
68,278528,1225.0,3.11321014,206,1346,-0.018639376387000084,0.004689733,-0.39230987764894965,0.0500732421875,0.2,-0.011412581813056022,670,0.9838134,0.0003,0.00014995443816587795
69,282624,1225.0,3.1705243899999997,209,1347,-0.01858055405318737,0.0048154774,-0.38538802564144137,0.0451416015625,0.2,-0.011301199137233198,680,0.98582286,0.0003,0.00014130978033790597
70,286720,1225.0,3.2352435899999987,212,1347,-0.018376687541604042,0.004210028,-0.39779211692512034,0.0421142578125,0.2,-0.011905480868881569,690,0.98728526,0.0003,0.00012654872980419896
71,290816,1225.0,3.2923038000000004,216,1345,-0.01914389431476593,0.0052720346,-0.39050983302295206,0.050634765625,0.2,-0.012591618776787073,700,0.9865074,0.0003,0.0001415736192939221
72,294912,1225.0,3.343775540000001,219,1343,-0.01738964579999447,0.0035929042,-0.3735609117895365,0.03984375,0.2,-0.011145050247432665,710,0.9885772,0.0003,0.00012395050434861333
73,299008,1225.0,3.4107649299999996,222,1343,-0.02061256766319275,0.005498975,-0.38432576693594456,0.051220703125,0.2,-0.01200392092578113,720,0.98789793,0.0003,0.00012959456089447485
74,303104,1225.0,3.4582039399999998,226,1341,-0.013672783970832825,0.0039781835,-0.3755671698600054,0.0460693359375,0.2,-0.01140428721846547,730,0.98819256,0.0003,0.00013174549631003173
75,307200,1225.0,3.5029025200000006,229,1339,-0.017704391852021217,0.003964612,-0.3588239818811417,0.0441162109375,0.2,-0.01187466424307786,740,0.9905382,0.0003,0.00011701818748406367
76,311296,1225.0,3.5671327700000006,232,1337,-0.013908765278756618,0.0040651564,-0.37350913807749747,0.041064453125,0.2,-0.011206758324988186,750,0.98898774,0.0003,0.00013003194781049387
77,315392,1225.0,3.6133297200000003,236,1333,-0.022021185606718063,0.0045290184,-0.36034501157701015,0.0443359375,0.2,-0.011637784959748387,760,0.9909143,0.0003,9.769260150278569e-05
78,319488,1225.0,3.65798436,240,1327,-0.0290085319429636,0.005240125,-0.3556725777685642,0.051611328125,0.2,-0.013353775194264016,770,0.9930244,0.0003,8.25679647277866e-05
79,323584,1225.0,3.72184497,244,1323,-0.021644750609993935,0.0041609863,-0.37285502403974535,0.0410400390625,0.2,-0.012849805608857423,780,0.9924773,0.0003,8.811699526631856e-05
80,327680,1225.0,3.7672220499999995,248,1319,-0.028006969019770622,0.004162931,-0.3491565868258476,0.04423828125,0.2,-0.01155858429847285,790,0.9914151,0.0003,8.820926245789451e-05
81,331776,1225.0,3.8074616499999996,251,1318,-0.027271762490272522,0.003962363,-0.336478129029274,0.0408447265625,0.2,-0.011429549768217839,800,0.9918125,0.0003,9.678512151367613e-05
82,335872,1225.0,3.8707070399999997,254,1317,-0.01987675204873085,0.0038651635,-0.3550774957984686,0.033740234375,0.2,-0.011149457722785883,810,0.99141574,0.0003,9.989745685743401e-05
83,339968,1225.0,3.9177977200000003,258,1316,-0.020065411925315857,0.004147205,-0.333789025247097,0.0431640625,0.2,-0.010495739118778147,820,0.9940848,0.0003,6.790418615310045e-05
84,344064,1225.0,3.9590614500000005,261,1314,-0.02520294114947319,0.0044727214,-0.32323250323534014,0.04833984375,0.2,-0.012679144408321009,830,0.9940475,0.0003,7.729436733825424e-05
85,348160,1225.0,4.01935998,265,1312,-0.018401019275188446,0.0057252115,-0.3339727908372879,0.052392578125,0.2,-0.012291733859456144,840,0.99354565,0.0003,8.932877381084836e-05
86,352256,1225.0,4.06169305,269,1309,-0.02414034865796566,0.004270668,-0.3205672312527895,0.03662109375,0.2,-0.01160596163244918,850,0.996179,0.0003,4.5850463948227116e-05
87,356352,1225.0,4.10982468,272,1307,-0.0154997194185853,0.004406541,-0.3177844226360321,0.0438720703125,0.2,-0.011427607014775276,860,0.9954031,0.0003,6.961748858884676e-05
88,360448,1225.0,4.170562669999999,276,1305,-0.016377395018935204,0.004954489,-0.32851432301104067,0.05400390625,0.2,-0.011808332399232313,870,0.9932765,0.0003,9.03004159226839e-05
89,364544,1225.0,4.2136735,279,1302,-0.017143260687589645,0.0040440233,-0.30689415112137797,0.045947265625,0.2,-0.010605740491882898,880,0.99390537,0.0003,7.593990876557655e-05
90,368640,1225.0,4.258728059999999,283,1298,-0.02121613547205925,0.0046017836,-0.29682987928390503,0.04658203125,0.2,-0.011405752442078665,890,0.9951661,0.0003,5.8034020048580716e-05
91,372736,1225.0,4.31435274,287,1294,-0.016043517738580704,0.0050731474,-0.3051181435585022,0.0516357421875,0.2,-0.011008740789839067,900,0.9933156,0.0003,9.826348423302989e-05
