rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/learning_rate
2482.0,69,2.6702410299999997,1834,154,282624,-0.00852994599554222,-0.4283690985292196,0.00460418,0.8754291,0.0016979486288619227,0.0423583984375,680,0.2,-0.020516913384199142,0.0003
2482.0,70,2.7553872999999998,1834,156,286720,-0.00800230609747814,-0.4136161141097546,0.0054010414,0.8948558,0.002101106449845247,0.052392578125,690,0.2,-0.014394441619515419,0.0003
2482.0,71,2.8290042599999996,1833,158,290816,-0.005880172026809305,-0.42407389134168627,0.003505045,0.8889524,0.0021887238253839314,0.0310546875,700,0.2,-0.010597484186291695,0.0003
2482.0,72,2.8695074199999997,1833,160,294912,-0.007810314922244288,-0.41593081317842007,0.005120489,0.88748,0.0016348378834663891,0.04228515625,710,0.2,-0.017652468755841255,0.0003
2482.0,73,2.94451976,1833,163,299008,-0.006766483864339534,-0.40593077428638935,0.003306374,0.90630597,0.0019531422076397575,0.0308837890625,720,0.2,-0.0086442856118083,0.0003
2482.0,74,3.0145169700000003,1833,165,303104,-0.007248532462108414,-0.41406867913901807,0.004731763,0.8957872,0.002096337085822597,0.043115234375,730,0.2,-0.010896805673837662,0.0003
2482.0,75,3.04879407,1832,167,307200,-0.008679128994117491,-0.39301187321543696,0.0046207006,0.8980198,0.0015480414367630146,0.0449951171875,740,0.2,-0.011800702661275864,0.0003
2482.0,76,3.1171352500000005,1832,169,311296,-0.008120373787824065,-0.38913778252899645,0.004771533,0.91405374,0.0018236411706311628,0.048095703125,750,0.2,-0.013295033015310764,0.0003
2482.0,77,3.18198873,1832,172,315392,-0.009196485395659693,-0.3964680440723896,0.00554144,0.8824882,0.0017041611106833443,0.0541259765625,760,0.2,-0.009694788604974747,0.0003
2482.0,78,3.2265772499999996,1832,174,319488,-0.008542442170437425,-0.3675473164767027,0.0054495493,0.9314689,0.0014682525303214788,0.0480224609375,770,0.2,-0.01188598945736885,0.0003
2482.0,79,3.29024902,1832,176,323584,-0.00723142197530251,-0.37086800299584866,0.0047769155,0.9187322,0.0018679452317883261,0.0434814453125,780,0.2,-0.009684046730399132,0.0003
2482.0,80,3.3660812799999995,1830,179,327680,-0.0091572578123305,-0.3796105947345495,0.0055298125,0.89469683,0.0015377609015558846,0.05048828125,790,0.2,-0.013037716038525105,0.0003
