rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/explained_variance,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/loss
0.71860839,2231.51,411648,1180,18,93,0.0001,-0.08819556,0.0016932319,0.002404740472168972,0.2,0.0007975260416666667,660,-0.8437762836615245,-0.003037299638769279,-0.013865009881556034
0.7312761200000001,2231.48,417792,1182,19,98,0.0001,-0.07860267,0.0009556534,0.0022641263785772026,0.2,0.00029296875,670,-0.8346917659044266,-0.0021709359522598484,-0.0105119738727808
0.77630601,2231.45,423936,1180,20,104,0.0001,0.012247324,0.0011153695,0.0020976593950763345,0.2,0.0005696614583333334,680,-0.8339619825283686,-0.0025685695562666904,-0.008583749644458294
0.8040632899999999,2231.43,430080,1175,21,109,0.0001,0.1506741,0.0015983683,0.0030246343463659286,0.2,0.0013346354166666667,690,-0.8287252555290858,-0.002914989777491428,-0.009687604382634163
0.84659972,2231.4,436224,1174,22,115,0.0001,0.20959556,0.0009946038,0.0019645828928332777,0.2,0.0005208333333333333,700,-0.8317531218131383,-0.002360351112050315,-0.009443143382668495
0.91052729,2231.37,442368,1176,23,120,0.0001,0.22662866,0.0011679659,0.003507923416327685,0.2,0.0007975260416666667,710,-0.8334208031495413,-0.0026161759393289684,-0.010456237941980362
0.9399015699999999,2231.34,448512,1174,24,125,0.0001,0.20300424,0.0008752861,0.0024974163039587437,0.2,9.765625e-05,720,-0.8310639808575312,-0.0017104254589260866,-0.008568341843783855
0.94615494,2231.32,454656,1174,25,130,0.0001,0.2734564,0.0013662222,0.0024452330253552645,0.2,0.001611328125,730,-0.8212609022855759,-0.0025895223506571105,-0.011064469814300537
0.98605589,2231.29,460800,1176,26,135,0.0001,0.33859265,0.0007464064,0.002358827025940021,0.2,0.00021158854166666667,740,-0.8209883153438569,-0.0020006990836312372,-0.009373127482831478
1.0159571,2231.26,466944,1179,27,140,0.0001,0.3747167,0.0011258227,0.0026253274525515737,0.2,0.0002766927083333333,750,-0.813485316435496,-0.0022493668637859326,-0.01091844867914915
